latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
25.71483,92.90946,327,0.5,0.65,2019-07-01,0606,N,VIIRS,n,1.0NRT,285.2,2.1,D
25.83889,92.75729,327,0.5,0.66,2019-07-01,0606,N,VIIRS,n,1.0NRT,287,2.8,D
28.31681,94.80629,335,0.34,0.56,2019-07-01,0606,N,VIIRS,n,1.0NRT,291.1,2.5,D
27.46221,95.47661,329.8,0.32,0.54,2019-07-01,0606,N,VIIRS,n,1.0NRT,289.7,1.8,D
27.47105,95.42293,330.8,0.32,0.55,2019-07-01,0606,N,VIIRS,n,1.0NRT,290.3,1.8,D
23.77233,86.38711,330.6,0.42,0.45,2019-07-01,0742,N,VIIRS,n,1.0NRT,294.5,4.3,D
23.72321,86.44009,337.3,0.42,0.45,2019-07-01,0742,N,VIIRS,n,1.0NRT,293.3,5.8,D
23.78221,86.39035,334.7,0.42,0.45,2019-07-01,0742,N,VIIRS,n,1.0NRT,293,2.6,D
11.21409,76.64665,334.4,0.5,0.49,2019-07-01,0742,N,VIIRS,n,1.0NRT,295,4.1,D
23.77339,86.38738,330.8,0.42,0.45,2019-07-01,0742,N,VIIRS,n,1.0NRT,294.3,4.4,D
23.79477,86.35101,339.2,0.42,0.45,2019-07-01,0742,N,VIIRS,n,1.0NRT,295.2,9,D
23.77385,86.39155,330.1,0.42,0.45,2019-07-01,0742,N,VIIRS,n,1.0NRT,295.2,7.8,D
11.22072,76.65787,329.7,0.5,0.49,2019-07-01,0742,N,VIIRS,n,1.0NRT,296.2,4.4,D
23.78117,86.39006,333.1,0.42,0.45,2019-07-01,0742,N,VIIRS,n,1.0NRT,293.7,8.3,D
24.20371,82.71975,331.2,0.42,0.38,2019-07-01,0742,N,VIIRS,n,1.0NRT,287,2.4,D
31.01961,77.81323,350.4,0.39,0.36,2019-07-01,0748,N,VIIRS,n,1.0NRT,305.8,15,D
31.29009,75.21662,332.3,0.44,0.39,2019-07-01,0748,N,VIIRS,l,1.0NRT,304.4,2.3,D
30.63623,78.02861,331.6,0.39,0.36,2019-07-01,0748,N,VIIRS,l,1.0NRT,305.7,5.3,D
30.31299,78.87716,332.8,0.38,0.36,2019-07-01,0748,N,VIIRS,n,1.0NRT,302.8,5.6,D
28.45898,80.67245,337.2,0.4,0.37,2019-07-01,0748,N,VIIRS,n,1.0NRT,299,3.2,D
33.11841,75.65713,334.8,0.41,0.37,2019-07-01,0748,N,VIIRS,l,1.0NRT,303.6,6.5,D
33.11615,75.64394,336.7,0.41,0.37,2019-07-01,0748,N,VIIRS,n,1.0NRT,304.5,6.6,D
33.18107,74.16622,342.8,0.46,0.39,2019-07-01,0748,N,VIIRS,l,1.0NRT,305.1,9.3,D
33.23337,74.03831,332.8,0.46,0.39,2019-07-01,0748,N,VIIRS,l,1.0NRT,307.8,2.6,D
33.15772,74.80003,349.2,0.44,0.38,2019-07-01,0748,N,VIIRS,l,1.0NRT,306.2,6.6,D
30.36533,79.02293,334.3,0.38,0.36,2019-07-01,0748,N,VIIRS,n,1.0NRT,303.2,2.9,D
30.36592,79.02689,334.4,0.38,0.36,2019-07-01,0748,N,VIIRS,n,1.0NRT,302.8,2.9,D
31.02681,77.8156,340.4,0.39,0.36,2019-07-01,0748,N,VIIRS,n,1.0NRT,301.9,7.9,D
30.57,78.32204,333.5,0.38,0.36,2019-07-01,0748,N,VIIRS,l,1.0NRT,307.1,10.6,D
30.20042,79.25589,343.2,0.39,0.36,2019-07-01,0748,N,VIIRS,n,1.0NRT,302.7,5.6,D
31.33386,75.27799,339.4,0.44,0.38,2019-07-01,0748,N,VIIRS,n,1.0NRT,305.5,3.8,D
33.17073,74.79157,337.3,0.44,0.38,2019-07-01,0748,N,VIIRS,n,1.0NRT,304.4,3.2,D
33.15423,74.80086,336.3,0.44,0.38,2019-07-01,0748,N,VIIRS,l,1.0NRT,305.9,6.6,D
33.16658,74.78863,333.9,0.44,0.38,2019-07-01,0748,N,VIIRS,l,1.0NRT,305.5,3.2,D
25.3402,82.25481,339.7,0.42,0.37,2019-07-01,0748,N,VIIRS,n,1.0NRT,298.9,7.6,D
25.33964,82.25066,337,0.42,0.37,2019-07-01,0748,N,VIIRS,n,1.0NRT,298.7,7.6,D
32.58181,76.01407,332.3,0.41,0.37,2019-07-01,0748,N,VIIRS,n,1.0NRT,301.5,5.4,D
32.68719,74.93729,344.9,0.44,0.38,2019-07-01,0748,N,VIIRS,n,1.0NRT,308.4,5.5,D
33.12101,74.88229,336.6,0.43,0.38,2019-07-01,0748,N,VIIRS,l,1.0NRT,305,4.1,D
32.4297,75.6394,335,0.42,0.37,2019-07-01,0748,N,VIIRS,l,1.0NRT,308.3,3.2,D
33.03703,74.3505,334.9,0.45,0.39,2019-07-01,0748,N,VIIRS,n,1.0NRT,304.7,1.2,D
31.99656,76.60822,334,0.4,0.37,2019-07-01,0748,N,VIIRS,n,1.0NRT,299.8,4,D
31.99886,76.30525,340.2,0.4,0.37,2019-07-01,0748,N,VIIRS,n,1.0NRT,309.4,5.9,D
32.58167,76.01331,331.1,0.41,0.37,2019-07-01,0748,N,VIIRS,l,1.0NRT,303.1,5,D
25.98322,82.81709,341.7,0.44,0.38,2019-07-01,0748,N,VIIRS,n,1.0NRT,299.5,6.6,D
32.33862,76.70659,330.4,0.4,0.37,2019-07-01,0748,N,VIIRS,n,1.0NRT,298.7,4.1,D
30.89564,75.53285,338,0.44,0.38,2019-07-01,0748,N,VIIRS,l,1.0NRT,306.5,4.7,D
32.84637,75.32368,355.8,0.42,0.38,2019-07-01,0748,N,VIIRS,n,1.0NRT,305.2,9.9,D
29.78478,79.2132,337.1,0.38,0.36,2019-07-01,0748,N,VIIRS,n,1.0NRT,301.7,2.7,D
30.34906,78.53461,344.8,0.38,0.36,2019-07-01,0748,N,VIIRS,n,1.0NRT,304,5.9,D
31.02744,77.81952,341.8,0.39,0.36,2019-07-01,0748,N,VIIRS,n,1.0NRT,301,7.4,D
31.02415,77.82029,346.1,0.39,0.36,2019-07-01,0748,N,VIIRS,n,1.0NRT,305.6,7.4,D
26.87795,84.28452,333.1,0.52,0.42,2019-07-01,0748,N,VIIRS,n,1.0NRT,295.2,3.8,D
31.23271,76.21709,332.9,0.41,0.37,2019-07-01,0748,N,VIIRS,l,1.0NRT,305.7,2.8,D
30.01563,78.83757,337.2,0.38,0.36,2019-07-01,0748,N,VIIRS,n,1.0NRT,304.6,2.9,D
30.36922,79.02624,341.9,0.38,0.36,2019-07-01,0748,N,VIIRS,n,1.0NRT,303,4.9,D
30.9736,77.01932,335.4,0.4,0.37,2019-07-01,0748,N,VIIRS,n,1.0NRT,303.7,4,D
30.93519,75.38609,336.7,0.44,0.38,2019-07-01,0748,N,VIIRS,l,1.0NRT,306.6,3.4,D
26.58844,82.64556,336.6,0.44,0.38,2019-07-01,0748,N,VIIRS,n,1.0NRT,297.4,4.5,D
26.58785,82.64114,335.6,0.44,0.38,2019-07-01,0748,N,VIIRS,n,1.0NRT,297.7,4.5,D
30.74433,74.38858,336.1,0.49,0.4,2019-07-01,0748,N,VIIRS,n,1.0NRT,302.3,3.7,D
30.84082,77.73408,332.1,0.39,0.36,2019-07-01,0748,N,VIIRS,l,1.0NRT,304,4.7,D
31.50926,76.31541,337.5,0.41,0.37,2019-07-01,0748,N,VIIRS,l,1.0NRT,306.7,5.1,D
