index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
6920,22.7885,86.19986,306.9,0.41,0.37,2017-10-21,2003,N,VIIRS,n,1,295.5,1.7,3
6953,22.589370000000002,85.90514,307.1,0.41,0.37,2017-10-21,2003,N,VIIRS,n,1,294.4,0.7,2
6988,22.052889999999998,85.46465,307.6,0.4,0.37,2017-10-21,2003,N,VIIRS,n,1,291.0,1.1,2
6999,22.131429999999998,85.41514000000001,300.9,0.4,0.37,2017-10-21,2003,N,VIIRS,n,1,290.3,0.4,2
7021,22.79531,86.20121999999999,322.0,0.41,0.37,2017-10-21,2003,N,VIIRS,n,1,294.5,1.2,3
7023,22.79191,86.20053,307.7,0.41,0.37,2017-10-21,2003,N,VIIRS,n,1,294.9,1.2,3
7024,22.799879999999998,86.09103,318.7,0.41,0.37,2017-10-21,2003,N,VIIRS,n,1,295.3,1.7,2
7044,22.79599,86.19722,305.8,0.41,0.37,2017-10-21,2003,N,VIIRS,n,1,295.1,1.2,3
7051,22.811410000000002,86.0851,314.6,0.41,0.37,2017-10-21,2003,N,VIIRS,n,1,294.8,1.7,2
7055,22.79736,86.20991,316.5,0.41,0.37,2017-10-21,2003,N,VIIRS,n,1,294.1,1.3,3
7066,22.78715,86.20783,307.3,0.41,0.37,2017-10-21,2003,N,VIIRS,n,1,296.4,2.1,2
7070,22.79804,86.2059,310.6,0.41,0.37,2017-10-21,2003,N,VIIRS,n,1,294.5,1.3,3
7216,22.79405,86.19973,331.9,0.42,0.38,2017-10-22,716,N,VIIRS,l,1,305.8,6.4,3
8435,22.78998,86.21112,313.4,0.43,0.38,2017-10-22,1944,N,VIIRS,n,1,295.4,1.3,2
8469,22.587989999999998,85.90413000000001,309.4,0.44,0.39,2017-10-22,1944,N,VIIRS,n,1,295.5,0.9,2
8481,22.79815,86.20383000000001,306.0,0.43,0.38,2017-10-22,1944,N,VIIRS,n,1,294.5,0.8,2
8500,22.05246,85.46562,304.9,0.46,0.39,2017-10-22,1944,N,VIIRS,n,1,292.4,1.2,2
8507,22.79757,86.20801,309.9,0.43,0.38,2017-10-22,1944,N,VIIRS,n,1,295.2,0.9,2
8513,22.79174,86.19849,310.5,0.43,0.38,2017-10-22,1944,N,VIIRS,n,1,296.9,1.3,3
8536,22.790570000000002,86.20691,312.5,0.43,0.38,2017-10-22,1944,N,VIIRS,n,1,295.9,1.3,2
8553,22.7994,86.09166,328.1,0.44,0.38,2017-10-22,1944,N,VIIRS,n,1,295.4,3.4,2
8556,22.129939999999998,85.41689000000001,303.0,0.46,0.39,2017-10-22,1944,N,VIIRS,n,1,292.6,0.8,2
8559,22.78824,86.19792,310.1,0.43,0.38,2017-10-22,1944,N,VIIRS,n,1,296.6,2.1,3
8569,22.79524,86.19906999999999,313.2,0.43,0.38,2017-10-22,1944,N,VIIRS,n,1,295.9,1.3,3
9921,22.78998,86.19685,310.0,0.52,0.5,2017-10-23,1925,N,VIIRS,n,1,294.1,2.0,3
9924,22.78942,86.20201,312.9,0.52,0.5,2017-10-23,1925,N,VIIRS,n,1,294.2,2.2,3
9925,22.8017,86.08875,316.5,0.53,0.5,2017-10-23,1925,N,VIIRS,n,1,292.5,3.3,2
9926,22.78886,86.20714,309.3,0.52,0.5,2017-10-23,1925,N,VIIRS,n,1,294.5,2.2,3
9927,22.79458,86.19748,307.2,0.52,0.5,2017-10-23,1925,N,VIIRS,n,1,293.5,2.0,3
9937,22.85675,86.05904,302.9,0.53,0.5,2017-10-23,1925,N,VIIRS,n,1,291.2,1.0,2
9939,22.78426,86.20656,312.1,0.52,0.5,2017-10-23,1925,N,VIIRS,n,1,293.3,1.8,2
9944,22.78481,86.20142,309.0,0.52,0.5,2017-10-23,1925,N,VIIRS,n,1,293.7,1.8,2
11983,22.79982,86.09106,305.6,0.53,0.67,2017-10-24,1906,N,VIIRS,n,1,289.7,2.2,2
12073,22.7853,86.20329,315.5,0.58,0.7,2017-10-24,2047,N,VIIRS,n,1,288.9,4.8,2
14696,22.05412,85.46475,301.1,0.55,0.51,2017-10-25,2028,N,VIIRS,n,1,290.5,0.9,2
14705,22.0553,85.4661,301.6,0.55,0.51,2017-10-25,2028,N,VIIRS,n,1,290.7,0.7,2
14712,22.8007,86.09264,305.6,0.58,0.52,2017-10-25,2028,N,VIIRS,n,1,289.5,2.2,2
14768,22.80238,86.09097,303.0,0.58,0.52,2017-10-25,2028,N,VIIRS,n,1,288.1,2.1,2
14899,22.79768,86.20509,330.4,0.49,0.4,2017-10-26,741,N,VIIRS,l,1,303.7,3.8,2
14926,22.79831,86.20992,335.2,0.49,0.4,2017-10-26,741,N,VIIRS,n,1,304.3,3.8,2
14946,22.79564,86.20806,338.3,0.49,0.4,2017-10-26,741,N,VIIRS,n,1,304.5,7.3,2
17124,22.053520000000002,85.46439000000001,305.8,0.45,0.39,2017-10-26,2009,N,VIIRS,n,1,290.6,1.1,2
17137,22.7912,86.20711999999999,305.4,0.48,0.4,2017-10-26,2009,N,VIIRS,n,1,291.6,2.8,2
17145,22.7965,86.1987,303.6,0.48,0.4,2017-10-26,2009,N,VIIRS,n,1,291.9,1.0,3
17150,22.78924,86.19717,304.7,0.48,0.4,2017-10-26,2009,N,VIIRS,n,1,292.9,2.1,3
17161,22.80105,86.09071999999999,314.8,0.47,0.4,2017-10-26,2009,N,VIIRS,n,1,293.4,1.7,2
17197,22.13136,85.41751,301.4,0.45,0.39,2017-10-26,2009,N,VIIRS,n,1,289.1,0.7,2
17206,22.85608,86.05524,305.6,0.47,0.4,2017-10-26,2009,N,VIIRS,n,1,291.7,1.0,2
17362,22.79115,86.19578,342.0,0.39,0.36,2017-10-27,722,N,VIIRS,n,1,306.3,5.1,3
17404,22.79506,86.19894000000001,330.0,0.39,0.36,2017-10-27,722,N,VIIRS,l,1,304.1,5.2,3
19016,22.58854,85.90565,308.6,0.4,0.37,2017-10-27,1950,N,VIIRS,n,1,292.9,0.7,2
19019,22.78894,86.19713,309.7,0.39,0.36,2017-10-27,1950,N,VIIRS,n,1,296.3,1.0,3
19028,22.78837,86.20094,307.4,0.39,0.36,2017-10-27,1950,N,VIIRS,n,1,295.4,1.0,3
19036,22.79822,86.08927,310.0,0.39,0.36,2017-10-27,1950,N,VIIRS,n,1,292.6,2.1,2
19044,22.79561,86.1983,315.9,0.39,0.36,2017-10-27,1950,N,VIIRS,n,1,295.1,1.9,3
19053,22.85634,86.05516,306.7,0.39,0.37,2017-10-27,1950,N,VIIRS,n,1,292.1,0.7,2
19064,22.801560000000002,86.08985,331.2,0.39,0.36,2017-10-27,1950,N,VIIRS,n,1,294.4,2.1,2
19067,22.79056,86.20911,323.4,0.39,0.36,2017-10-27,1950,N,VIIRS,n,1,295.2,1.7,2
19088,22.784470000000002,86.20416,305.9,0.39,0.36,2017-10-27,1950,N,VIIRS,n,1,295.0,1.2,2
19090,22.7878,86.20474,309.0,0.39,0.36,2017-10-27,1950,N,VIIRS,n,1,295.5,1.7,2
19094,22.7917,86.20152,305.0,0.39,0.36,2017-10-27,1950,N,VIIRS,n,1,294.9,1.0,3
19162,22.05337,85.4633,301.3,0.4,0.37,2017-10-27,1951,N,VIIRS,n,1,289.9,1.2,2
19165,22.13018,85.41534,299.1,0.4,0.37,2017-10-27,1951,N,VIIRS,n,1,289.0,0.3,2
19289,22.78846,86.19619,331.6,0.4,0.44,2017-10-28,703,N,VIIRS,l,1,302.9,3.1,3
19290,22.789179999999998,86.20004,331.1,0.4,0.44,2017-10-28,703,N,VIIRS,l,1,303.9,3.1,3
22193,22.79397,86.19818000000001,310.0,0.41,0.45,2017-10-28,1932,N,VIIRS,n,1,293.0,1.2,3
22195,22.78933,86.20168000000001,307.2,0.41,0.45,2017-10-28,1932,N,VIIRS,n,1,293.7,1.2,3
22197,22.78885,86.20576,304.1,0.41,0.45,2017-10-28,1932,N,VIIRS,n,1,293.6,0.7,2
22198,22.85738,86.05691,302.7,0.42,0.45,2017-10-28,1932,N,VIIRS,n,1,291.0,0.8,2
22199,22.78838,86.2098,303.7,0.41,0.45,2017-10-28,1932,N,VIIRS,n,1,293.1,0.7,2
22202,22.7847,86.20518,304.4,0.41,0.45,2017-10-28,1932,N,VIIRS,n,1,293.6,1.3,2
22209,22.131729999999997,85.41929,299.7,0.45,0.47,2017-10-28,1932,N,VIIRS,n,1,288.4,0.8,2
22215,22.797639999999998,86.2028,311.4,0.41,0.45,2017-10-28,1932,N,VIIRS,n,1,292.4,1.9,2
22269,22.79254,86.21032,302.9,0.41,0.45,2017-10-28,1932,N,VIIRS,n,1,292.7,0.7,2
22272,22.80225,86.09113,308.7,0.42,0.45,2017-10-28,1932,N,VIIRS,n,1,292.2,0.8,2
22273,22.798070000000003,86.09054,307.8,0.42,0.45,2017-10-28,1932,N,VIIRS,n,1,291.7,1.1,2
22274,22.78981,86.19759,307.9,0.41,0.45,2017-10-28,1932,N,VIIRS,n,1,295.0,1.2,3
22276,22.79717,86.20683000000001,306.9,0.41,0.45,2017-10-28,1932,N,VIIRS,n,1,292.4,1.4,3
25906,22.7998,86.08863000000001,315.5,0.42,0.61,2017-10-29,1913,N,VIIRS,n,1,291.1,2.1,2
25916,22.80145,86.09018,315.2,0.42,0.61,2017-10-29,1913,N,VIIRS,n,1,291.6,1.9,2
25933,22.129929999999998,85.41785,299.4,0.45,0.63,2017-10-29,1913,N,VIIRS,n,1,287.9,0.7,2
25934,22.0547,85.46378,301.4,0.45,0.63,2017-10-29,1913,N,VIIRS,n,1,289.4,0.9,2
26000,22.79577,86.20683000000001,301.2,0.72,0.76,2017-10-29,2053,N,VIIRS,n,1,289.8,2.3,3
26015,21.97021,85.31515,297.7,0.67,0.73,2017-10-29,2053,N,VIIRS,n,1,286.4,0.5,2
26050,22.78901,86.20449,312.8,0.72,0.76,2017-10-29,2053,N,VIIRS,n,1,289.9,2.3,3
26264,22.7955,86.2086,326.8,0.4,0.6,2017-10-30,806,N,VIIRS,n,1,296.3,3.8,2
26281,22.80115,86.08964,330.9,0.39,0.59,2017-10-30,806,N,VIIRS,n,1,301.0,3.0,2
30226,22.12986,85.41869,298.0,0.34,0.56,2017-10-30,2034,N,VIIRS,n,1,287.5,0.5,2
30232,22.05483,85.46653,300.2,0.35,0.56,2017-10-30,2034,N,VIIRS,n,1,289.0,0.7,2
34586,22.80162,86.08884,306.6,0.57,0.43,2017-10-31,2015,N,VIIRS,n,1,290.9,2.3,2
34589,22.80005,86.09083000000001,310.6,0.57,0.43,2017-10-31,2015,N,VIIRS,n,1,291.1,2.1,2
34628,22.131870000000003,85.41776,301.5,0.53,0.42,2017-10-31,2016,N,VIIRS,n,1,288.6,0.9,2
37932,22.87406,86.06416,303.5,0.38,0.36,2017-11-01,1957,N,VIIRS,n,1,291.4,0.5,2
37933,22.787470000000003,86.20175,304.9,0.39,0.36,2017-11-01,1957,N,VIIRS,n,1,293.8,1.1,3
37975,22.790770000000002,86.20237,311.3,0.39,0.36,2017-11-01,1957,N,VIIRS,n,1,293.4,1.1,3
37977,22.79288,86.21047,306.9,0.39,0.36,2017-11-01,1957,N,VIIRS,n,1,292.1,0.9,2
37978,22.78464,86.20214,304.9,0.39,0.36,2017-11-01,1957,N,VIIRS,n,1,293.2,1.3,2
37979,22.78807,86.19802,306.8,0.39,0.36,2017-11-01,1957,N,VIIRS,n,1,294.1,1.5,3
37980,22.80247,86.09015,316.8,0.39,0.36,2017-11-01,1957,N,VIIRS,n,1,293.3,1.0,2
37982,22.79468,86.19926,318.3,0.39,0.36,2017-11-01,1957,N,VIIRS,n,1,293.4,2.2,3
37984,22.85815,86.05735,303.1,0.38,0.36,2017-11-01,1957,N,VIIRS,n,1,292.2,0.6,2
38030,22.79918,86.08954,311.3,0.39,0.36,2017-11-01,1957,N,VIIRS,n,1,292.7,1.0,2
38032,22.79678,86.20735,319.4,0.39,0.36,2017-11-01,1957,N,VIIRS,n,1,293.6,1.1,3
38033,22.79738,86.20361,308.3,0.39,0.36,2017-11-01,1957,N,VIIRS,n,1,292.0,1.1,3
38034,22.78957,86.20985,313.4,0.39,0.36,2017-11-01,1957,N,VIIRS,n,1,293.3,1.5,2
38035,22.798579999999998,86.09326999999999,302.2,0.39,0.36,2017-11-01,1957,N,VIIRS,n,1,292.0,1.0,2
38036,22.79017,86.20612,307.9,0.39,0.36,2017-11-01,1957,N,VIIRS,n,1,294.0,1.1,3
38044,22.79137,86.19863000000001,321.6,0.39,0.36,2017-11-01,1957,N,VIIRS,n,1,296.1,1.5,3
38056,22.053829999999998,85.46412,308.8,0.38,0.36,2017-11-01,1957,N,VIIRS,n,1,291.2,0.8,2
38062,22.132379999999998,85.41743000000001,304.3,0.38,0.36,2017-11-01,1957,N,VIIRS,n,1,289.7,0.7,2
38065,22.587629999999997,85.90614000000001,304.3,0.38,0.36,2017-11-01,1957,N,VIIRS,n,1,291.9,0.6,2
39817,22.79256,86.19792,309.7,0.51,0.41,2017-11-02,1938,N,VIIRS,n,1,294.1,2.6,3
39832,22.795070000000003,86.20839000000001,311.6,0.51,0.41,2017-11-02,1938,N,VIIRS,n,1,292.5,1.3,2
39876,22.79066,86.21279,305.8,0.51,0.41,2017-11-02,1938,N,VIIRS,n,1,291.7,2.4,2
39881,22.79835,86.09196,309.3,0.51,0.41,2017-11-02,1938,N,VIIRS,n,1,292.3,1.6,2
39926,22.78879,86.19734,326.4,0.51,0.41,2017-11-02,1938,N,VIIRS,n,1,294.0,2.6,3
39954,22.13166,85.41881,305.1,0.55,0.43,2017-11-02,1938,N,VIIRS,n,1,289.1,1.3,2
39958,22.05416,85.46524000000001,305.4,0.54,0.42,2017-11-02,1938,N,VIIRS,n,1,290.1,1.2,2
42358,22.13269,85.41818,303.7,0.36,0.57,2017-11-03,1919,N,VIIRS,n,1,288.8,0.9,2
42391,22.79012,86.20705,305.1,0.33,0.55,2017-11-03,1919,N,VIIRS,n,1,293.5,0.8,2
42445,22.78535,86.20325,312.9,0.33,0.55,2017-11-03,1919,N,VIIRS,n,1,293.5,2.0,2
